GISJOIN,POPULATION
G3000170,11945
G3000190,1758
G3000210,9365
G3000230,9211
G3000250,3057
G3000270,11468
G3000290,93333
G3000310,95323
G3000330,1047
G3000350,13672
G3000370,756
G3000390,3168
G3000410,16523
G3000430,11502
G3000450,1997
G3000470,29157
G3000490,65357
G3000510,2369
G3000530,19337
G3000550,1728
G3000570,7767
G3000590,1898
G3000610,4238
G3000630,111966
G3000650,4790
G3000670,15708
G3000690,443
G3000710,4167
G3000730,6206
G3000750,1703
G3000770,6975
G3000790,1372
G3000810,40823
G3000830,11132
G3000850,11072
G3000870,9352
G3000890,11346
G3000910,3630
G3000930,34549
G3000950,9288
G3000970,3633
G3000990,6074
G3001010,5150
G3001030,812
G3001050,7577
G3001070,2115
G3001090,986
G3001110,153692
G3100010,31442
G3100030,6486
G3100050,448
G3100070,820
G3100090,551
G3100110,5373
G3100130,11310
G3100150,2039
G3100170,3078
G3100190,47958
G3100210,6647
G3100230,8256
G3100250,25360
G3100270,8675
G3100290,3897
G3100310,5770
G3100330,10077
G3100350,6382
G3100370,10522
G3100390,9078
G3100410,10802
G3100430,20798
G3100450,9136
G3100470,24069
G3100490,1946
G3100510,5866
G3100530,36725
G3100550,537655
G3100570,2015
G3100590,5697
G3100610,3105
G3100630,2573
G3100650,4887
G3100670,21818
G3100690,1823
G3100710,1933
G3100730,1976
G3100750,769
G3100770,2476
G3100790,60792
G3100810,9100
G3100830,3458
G3100850,1084
G3100870,2879
G3100890,10398
G3100910,681
G3100930,6347
G3100950,7433
G3100970,5167
G3100990,6549
G3101010,8146
G3101030,711
G3101050,3720
G3101070,8556
G3101090,298080
G3101110,35896
G3101130,851
G3101150,548
G3101170,433
G3101190,35111
G3101210,7776
G3101230,4874
G3101250,3639
G3101270,7168
G3101290,4391
G3101310,15842
G3101330,2726
G3101350,2924
G3101370,9216
G3101390,7184
G3101410,32642
G3101430,5271
G3101450,10946
G3101470,8201
G3101490,1401
G3101510,14360
G3101530,169192
G3101550,20913
G3101570,36684
G3101590,16998
G3101610,5294
G3101630,3107
G3101650,1249
G3101670,6081
G3101690,5182
G3101710,675
G3101730,6946
G3101750,4254
G3101770,20257
G3101790,9425
G3101810,3697
G3101830,847
G3101850,13825
G3200010,24252
G3200030,2035572
G3200050,47259
G3200070,51562
G3200090,1141
G3200110,1669
G3200130,17067
G3200150,5946
G3200170,5194
G3200190,51657
G3200210,4566
G3200230,42625
G3200270,6722
G3200290,3929
G3200310,435019
G3200330,9974
G3205100,54482
G3300010,60399
G3300030,47513
G3300050,76430
G3300070,31870
G3300090,89341
G3300110,403972
G3300130,147262
G3300150,299006
G3300170,125273
G3300190,43135
G3400010,275376
G3400030,926330
G3400050,450556
G3400070,511998
G3400090,95805
G3400110,157035
G3400130,791609
G3400150,290298
G3400170,662619
G3400190,126250
G3400210,370212
G3400230,830300
G3400250,629185
G3400270,498192
G3400290,583450
G3400310,507574
G3400330,65120
G3400350,330604
G3400370,145930
G3400390,548744
G3400410,107226
G3500010,673943
G3500030,3583
G3500050,65811
G3500060,27382
G3500070,12997
G3500090,50497
G3500110,2020
G3500130,213963
G3500150,55641
G3500170,29119
G3500190,4526
G3500210,565
G3500230,4643
G3500250,68149
G3500270,19931
G3500280,17939
G3500290,24789
G3500310,73998
G3500330,4660
G3500350,65318
G3500370,8698
G3500390,39949
G3500410,19908
G3500430,136638
G3500450,125133
G3500470,28668
G3500490,147108
G3500510,11615
G3500530,17494
G3500550,32943
G3500570,15853
G3500590,4339
G3500610,76297
G3600010,307463
G3600030,48070
G3600050,1428357
G3600070,198093
G3600090,78962
G3600110,79173
G3600130,132646
G3600150,88267
G3600170,49549
G3600190,81685
G3600210,62195
G3600230,49043
G3600250,46901
G3600270,296928
G3600290,921584
G3600310,38912
G3600330,51280
G3600350,54606
G3600370,59458
G3600390,48312
G3600410,4760
G3600430,64034
G3600450,118947
G3600470,2595259
G3600490,27124
G3600510,64801
G3600530,72427
G3600550,749356
G3600570,49779
G3600590,1354612
G3600610,1629507
G3600630,214150
G3600650,233558
G3600670,468304
G3600690,109192
G3600710,375384
G3600730,42204
G3600750,121183
G3600770,61399
G3600790,99488
G3600810,2301139
G3600830,159900
G3600850,472481
G3600870,320688
G3600890,112011
G3600910,223774
G3600930,154796
G3600950,31913
G3600970,18410
G3600990,35144
G3601010,98665
G3601030,1501373
G3601050,76330
G3601070,50199
G3601090,103855
G3601110,181300
G3601130,65180
G3601150,62700
G3601170,92416
G3601190,967315
G3601210,41446
G3601230,25187
G3700010,155258
G3700030,37158
G3700050,10911
G3700070,26135
G3700090,27114
G3700110,17695
G3700130,47561
G3700150,20518
G3700170,34720
G3700190,115926
G3700210,247336
G3700230,89548
G3700250,188375
G3700270,81758
G3700290,10161
G3700310,68228
G3700330,23174
G3700350,154610
G3700370,67431
G3700390,27092
G3700410,14656
G3700430,10656
G3700450,97178
G3700470,57230
G3700490,104450
G3700510,324603
G3700530,24492
G3700550,34863
G3700570,163867
G3700590,41447
G3700610,59453
G3700630,288817
G3700650,55280
G3700670,361684
G3700690,62296
G3700710,209807
G3700730,11724
G3700750,8700
G3700770,58109
G3700790,21328
G3700810,506763
G3700830,53407
G3700850,124320
G3700870,59170
G3700890,109719
G3700910,24368
G3700930,51075
G3700950,5693
G3700970,165066
G3700990,40812
G3701010,178396
G3701030,10166
G3701050,59418
G3701070,58782
G3701090,79578
G3701110,44961
G3701130,33919
G3701150,21027
G3701170,23729
G3701190,990288
G3701210,15330
G3701230,27601
G3701250,91743
G3701270,94722
G3701290,213091
G3701310,21011
G3701330,183753
G3701350,138644
G3701370,12982
G3701390,40018
G3701410,55166
G3701430,13498
G3701450,39262
G3701470,173798
G3701490,20327
G3701510,142370
G3701530,46046
G3701550,134871
G3701570,92300
G3701590,138361
G3701610,66865
G3701630,63873
G3701650,35932
G3701670,60586
G3701690,46661
G3701710,73170
G3701730,14163
G3701750,32928
G3701770,4152
G3701790,213422
G3701810,44829
G3701830,976019
G3701850,20468
G3701870,12668
G3701890,52240
G3701910,124355
G3701930,68946
G3701950,81581
G3701970,37971
G3701990,17604
G3800010,2341
G3800030,11097
G3800050,6794
G3800070,969
G3800090,6634
G3800110,3221
G3800130,2208
G3800150,88223
G3800170,162500
G3800190,3890
G3800210,5195
G3800230,2314
G3800250,4195
G3800270,2370
G3800290,3463
G3800310,3366
G3800330,1822
G3800350,68979
G3800370,2362
G3800390,2329
G3800410,2621
G3800430,2430
G3800450,4113
G3800470,1945
G3800490,5817
G3800510,2759
G3800530,9615
G3800550,9451
G3800570,8633
G3800590,28985
G3800610,9253
G3800630,3048
G3800650,1819
G3800670,7206
G3800690,4395
G3800710,11566
G3800730,5453
G3800750,2562
G3800770,16317
G3800790,14498
G3800810,3874
G3800830,1337
G3800850,4380
G3800870,673
G3800890,28628
G3800910,1979
G3800930,21076
G3800950,2294
G3800970,8077
G3800990,11005
G3801010,67736
G3801030,4204
G3801050,29619
G3900010,28229
G3900030,105196
G3900050,53189
G3900070,99777
G3900090,64974
G3900110,45873
G3900130,69560
G3900150,44247
G3900170,372538
G3900190,28361
G3900210,39393
G3900230,136827
G3900250,200285
G3900270,41892
G3900290,105987
G3900310,36724
G3900330,42725
G3900350,1263189
G3900370,52356
G3900390,38669
G3900410,185433
G3900430,76141
G3900450,149112
G3900470,28769
G3900490,1215761
G3900510,42485
G3900530,30565
G3900550,93874
G3900570,164192
G3900590,39626
G3900610,804194
G3900630,75428
G3900650,31736
G3900670,15633
G3900690,28015
G3900710,43170
G3900730,28914
G3900750,43436
G3900770,58937
G3900790,32854
G3900810,68053
G3900830,61004
G3900850,229437
G3900870,61827
G3900890,168693
G3900910,45484
G3900930,303152
G3900950,436261
G3900970,43456
G3900990,234550
G3901010,65943
G3901030,174831
G3901050,23473
G3901070,40863
G3901090,103517
G3901110,14547
G3901130,533763
G3901150,14913
G3901170,34996
G3901190,86016
G3901210,14508
G3901230,41162
G3901250,19165
G3901270,36025
G3901290,56515
G3901310,28396
G3901330,161897
G3901350,41682
G3901370,34184
G3901390,122312
G3901410,77334
G3901430,60187
G3901450,78017
G3901470,55929
G3901490,49067
G3901510,374979
G3901530,541847
G3901550,206373
G3901570,92697
G3901590,53470
G3901610,28576
G3901630,13234
G3901650,219916
G3901670,61351
G3901690,115371
G3901710,37386
G3901730,128885
G3901750,22467
G4000010,22236
G4000030,5755
G4000050,13906
G4000070,5530
G4000090,23300
G4000110,9810
G4000130,44003
G4000150,29495
G4000170,126193
G4000190,48442
G4000210,48097
G4000230,15120
G4000250,2341
G4000270,268614
G4000290,5812
G4000310,125531
G4000330,6112
G4000350,14744
G4000370,70761
G4000390,28978
G4000410,41409
G4000430,4863
G4000450,4121
G4000470,62192
G4000490,27455
G4000510,53612
G4000530,4517
G4000550,6117
G4000570,2866
G4000590,3766
G4000610,12850
G4000630,13785
G4000650,26056
G4000670,6333
G4000690,11022
G4000710,45587
G4000730,15302
G4000750,9302
G4000770,10774
G4000790,49899
G4000810,34504
G4000830,44493
G4000850,9663
G4000870,36512
G4000890,33143
G4000910,20280
G4000930,7700
G4000950,16014
G4000970,41007
G4000990,13733
G4001010,70224
G4001030,11506
G4001050,10555
G4001070,12248
G4001090,754480
G4001110,39446
G4001130,48054
G4001150,32085
G4001170,16499
G4001190,79423
G4001210,44961
G4001230,38055
G4001250,71136
G4001270,11226
G4001290,3780
G4001310,89190
G4001330,25481
G4001350,41464
G4001370,44806
G4001390,21588
G4001410,7715
G4001430,623335
G4001450,75391
G4001470,51760
G4001490,11649
G4001510,9033
G4001530,20986
G4100010,16052
G4100030,86495
G4100050,389438
G4100070,37382
G4100090,49389
G4100110,62775
G4100130,20956
G4100150,22338
G4100170,166622
G4100190,107194
G4100210,1883
G4100230,7276
G4100250,7229
G4100270,22749
G4100290,208363
G4100310,22061
G4100330,83409
G4100350,65972
G4100370,7842
G4100390,357060
G4100410,46347
G4100430,118971
G4100450,30551
G4100470,323259
G4100490,11204
G4100510,768418
G4100530,77264
G4100550,1795
G4100570,25430
G4100590,76738
G4100610,25745
G4100630,6857
G4100650,25492
G4100670,556210
G4100690,1348
G4100710,101119
G4200010,101767
G4200030,1231145
G4200050,67979
G4200070,169785
G4200090,49086
G4200110,413965
G4200130,126448
G4200150,62228
G4200170,626583
G4200190,185689
G4200210,139381
G4200230,4869
G4200250,64634
G4200270,157823
G4200290,509797
G4200310,39454
G4200330,81343
G4200350,39614
G4200370,66912
G4200390,87343
G4200410,241427
G4200430,271094
G4200450,561683
G4200470,31370
G4200490,279858
G4200510,134851
G4200530,7581
G4200550,152285
G4200570,14694
G4200590,37938
G4200610,45906
G4200630,87895
G4200650,44756
G4200670,24829
G4200690,213459
G4200710,530216
G4200730,89162
G4200750,135776
G4200770,356756
G4200790,320095
G4200810,116656
G4200830,42884
G4200850,115320
G4200870,46675
G4200890,167881
G4200910,812970
G4200930,18508
G4200950,299616
G4200970,94006
G4200990,45677
G4201010,1555072
G4201030,56632
G4201050,17377
G4201070,146360
G4201090,40046
G4201110,76617
G4201130,6381
G4201150,42369
G4201170,42284
G4201190,44958
G4201210,53906
G4201230,40962
G4201250,208226
G4201270,51642
G4201290,361251
G4201310,28147
G4201330,439660
G4400010,49176
G4400030,164958
G4400050,82663
G4400070,630459
G4400090,126405
G4500010,24997
G4500030,163908
G4500050,9838
G4500070,191215
G4500090,15432
G4500110,22098
G4500130,171420
G4500150,193613
G4500170,14958
G4500190,372904
G4500210,55863
G4500230,32556
G4500250,46192
G4500270,34178
G4500290,38004
G4500310,67922
G4500330,31435
G4500350,145715
G4500370,26466
G4500390,23108
G4500410,138330
G4500430,60572
G4500450,474903
G4500470,69771
G4500490,20473
G4500510,290730
G4500530,26549
G4500550,62722
G4500570,81263
G4500590,66389
G4500610,18461
G4500630,273843
G4500650,9895
G4500670,32167
G4500690,27993
G4500710,37690
G4500730,74949
G4500750,90575
G4500770,120124
G4500790,397899
G4500810,20000
G4500830,291240
G4500850,107777
G4500870,28125
G4500890,33238
G4500910,240076
G4600030,2729
G4600050,18168
G4600070,3438
G4600090,7013
G4600110,33046
G4600130,38060
G4600150,5330
G4600170,2038
G4600190,10292
G4600210,1548
G4600230,9239
G4600250,3625
G4600270,14011
G4600290,27750
G4600310,4149
G4600330,8394
G4600350,19787
G4600370,5618
G4600390,4341
G4600410,5579
G4600430,2973
G4600450,4018
G4600470,6906
G4600490,2359
G4600510,7227
G4600530,4226
G4600550,2083
G4600570,5982
G4600590,3375
G4600610,3386
G4600630,1328
G4600650,17466
G4600670,7226
G4600690,1413
G4600710,3237
G4600730,2031
G4600750,781
G4600770,5107
G4600790,12086
G4600810,24645
G4600830,49874
G4600850,3837
G4600870,5613
G4600890,2263
G4600910,4701
G4600930,26381
G4600950,2086
G4600970,2306
G4600990,178942
G4601010,6439
G4601020,14153
G4601030,106085
G4601050,2981
G4601070,2307
G4601090,10318
G4601110,2339
G4601150,6570
G4601170,2962
G4601190,1469
G4601210,9942
G4601230,5504
G4601250,8302
G4601270,14842
G4601290,5495
G4601350,22636
G4601370,2833
G4700010,75430
G4700030,45986
G4700050,16261
G4700070,13686
G4700090,125188
G4700110,102062
G4700130,40176
G4700150,13787
G4700170,28353
G4700190,56941
G4700210,39422
G4700230,17324
G4700250,31748
G4700270,7780
G4700290,35321
G4700310,53448
G4700330,14600
G4700350,57455
G4700370,658506
G4700390,11686
G4700410,19038
G4700430,50472
G4700450,38054
G4700470,38814
G4700490,17931
G4700510,41138
G4700530,49572
G4700550,28949
G4700570,22736
G4700590,68576
G4700610,13524
G4700630,62999
G4700650,348121
G4700670,6642
G4700690,26253
G4700710,25900
G4700730,56595
G4700750,18248
G4700770,28013
G4700790,32269
G4700810,24283
G4700830,8290
G4700850,18240
G4700870,11496
G4700890,52490
G4700910,18017
G4700930,444348
G4700950,7687
G4700970,27427
G4700990,42226
G4701010,11944
G4701030,33550
G4701050,50229
G4701070,52506
G4701090,26103
G4701110,22761
G4701130,98184
G4701150,28306
G4701170,31159
G4701190,84089
G4701210,11716
G4701230,45293
G4701250,185980
G4701270,6351
G4701290,21794
G4701310,31129
G4701330,22100
G4701350,7864
G4701370,5097
G4701390,16687
G4701410,73810
G4701430,32394
G4701450,53162
G4701470,67426
G4701490,282558
G4701510,22043
G4701530,14592
G4701550,93617
G4701570,937750
G4701590,19136
G4701610,13286
G4701630,156752
G4701650,169623
G4701670,61674
G4701690,7884
G4701710,18069
G4701730,19096
G4701750,5596
G4701770,40015
G4701790,125317
G4701810,16897
G4701830,34415
G4701850,26252
G4701870,199456
G4701890,122445
G4800010,57915
G4800030,16775
G4800050,87748
G4800070,24292
G4800090,8779
G4800110,1943
G4800130,47050
G4800150,28886
G4800170,7126
G4800190,20796
G4800210,76948
G4800230,3628
G4800250,32659
G4800270,326041
G4800290,1825502
G4800310,10723
G4800330,705
G4800350,17971
G4800370,93155
G4800390,331741
G4800410,205271
G4800430,9235
G4800450,1670
G4800470,7221
G4800490,37833
G4800510,17293
G4800530,44144
G4800550,39347
G4800570,21666
G4800590,13532
G4800610,417947
G4800630,12516
G4800650,6068
G4800670,30328
G4800690,7948
G4800710,37251
G4800730,51167
G4800750,7059
G4800770,10479
G4800790,2993
G4800810,3238
G4800830,8536
G4800850,862215
G4800870,3058
G4800890,20757
G4800910,119632
G4800930,13623
G4800950,4086
G4800970,38761
G4800990,76128
G4801010,1510
G4801030,4730
G4801050,3699
G4801070,6007
G4801090,2296
G4801110,7014
G4801130,2485003
G4801150,13542
G4801170,19245
G4801190,5223
G4801210,731851
G4801230,20540
G4801250,2281
G4801270,10682
G4801290,3588
G4801310,11577
G4801330,18328
G4801350,149557
G4801370,1906
G4801390,157058
G4801410,831095
G4801430,40039
G4801450,17410
G4801470,33748
G4801490,24849
G4801510,3858
G4801530,6178
G4801550,1197
G4801570,658331
G4801590,10599
G4801610,19586
G4801630,18168
G4801650,18916
G4801670,308163
G4801690,6410
G4801710,25398
G4801730,1180
G4801750,7410
G4801770,20172
G4801790,22983
G4801810,122780
G4801830,123178
G4801850,26961
G4801870,143460
G4801890,35504
G4801910,3203
G4801930,8266
G4801950,5559
G4801970,3992
G4801990,55375
G4802010,4356362
G4802030,66417
G4802050,6121
G4802070,5853
G4802090,177562
G4802110,4115
G4802130,79016
G4802150,819217
G4802170,34923
G4802190,23322
G4802210,53171
G4802230,35645
G4802250,22949
G4802270,36105
G4802290,3330
G4802310,88052
G4802330,21858
G4802350,1644
G4802370,8946
G4802390,14486
G4802410,35768
G4802430,2232
G4802450,252872
G4802470,5239
G4802490,41461
G4802510,155450
G4802530,19978
G4802550,14879
G4802570,109289
G4802590,37361
G4802610,565
G4802630,821
G4802650,50149
G4802670,4486
G4802690,267
G4802710,3577
G4802730,32029
G4802750,3796
G4802770,49566
G4802790,13742
G4802810,20219
G4802830,7191
G4802850,19549
G4802870,16664
G4802890,16819
G4802910,77486
G4802930,23454
G4802950,3483
G4802970,11873
G4802990,19323
G4803010,117
G4803030,290782
G4803050,5764
G4803070,8273
G4803090,241505
G4803110,778
G4803130,13838
G4803150,10248
G4803170,5252
G4803190,4066
G4803210,36598
G4803230,56548
G4803250,47392
G4803270,2182
G4803290,151290
G4803310,24344
G4803330,4875
G4803350,9169
G4803370,19478
G4803390,502586
G4803410,22281
G4803430,12700
G4803450,1071
G4803470,65531
G4803490,48118
G4803510,14231
G4803530,15061
G4803550,352060
G4803570,10642
G4803590,2071
G4803610,83217
G4803630,27921
G4803650,23900
G4803670,121418
G4803690,10004
G4803710,15807
G4803730,46113
G4803750,122352
G4803770,7304
G4803790,11037
G4803810,126782
G4803830,3598
G4803850,3356
G4803870,12567
G4803890,14179
G4803910,7277
G4803930,931
G4803950,16532
G4803970,85536
G4803990,10445
G4804010,53457
G4804030,10440
G4804050,8695
G4804070,27023
G4804090,66070
G4804110,5893
G4804130,3224
G4804150,17238
G4804170,3352
G4804190,25725
G4804210,3066
G4804230,217552
G4804250,8608
G4804270,62648
G4804290,9452
G4804310,1346
G4804330,1414
G4804350,3966
G4804370,7713
G4804390,1914526
G4804410,134435
G4804430,921
G4804450,12687
G4804470,1545
G4804490,32553
G4804510,115056
G4804530,1121645
G4804550,14405
G4804570,21462
G4804590,40096
G4804610,3405
G4804630,26952
G4804650,48980
G4804670,52736
G4804690,90099
G4804710,69330
G4804730,45847
G4804750,11225
G4804770,34236
G4804790,263251
G4804810,41264
G4804830,5618
G4804850,131957
G4804870,13158
G4804890,22002
G4804910,473592
G4804930,45509
G4804950,7576
G4804970,61243
G4804990,42712
G4805010,8213
G4805030,18329
G4805050,14308
G4805070,12060
G4900010,6461
G4900030,50991
G4900050,117449
G4900070,20927
G4900090,776
G4900110,323374
G4900130,19817
G4900150,10728
G4900170,5069
G4900190,9388
G4900210,47139
G4900230,10400
G4900250,7202
G4900270,12582
G4900290,10276
G4900310,1865
G4900330,2292
G4900350,1078958
G4900370,15152
G4900390,28261
G4900410,20871
G4900430,38521
G4900450,60893
G4900470,35721
G4900490,551957
G4900510,26661
G4900530,148244
G4900550,2722
G4900570,238682
G5000010,36943
G5000030,36589
G5000050,31012
G5000070,159711
G5000090,6207
G5000110,48418
G5000130,6952
G5000150,25027
G5000170,28929
G5000190,27146
G5000210,60530
G5000230,59132
G5000250,43858
G5000270,56150
G5100010,33115
G5100030,103108
G5100050,16066
G5100070,12777
G5100090,32148
G5100110,15208
G5100130,223945
G5100150,74053
G5100170,4583
G5100190,76463
G5100210,6662
G5100230,33155
G5100250,16930
G5100270,23486
G5100290,17068
G5100310,55012
G5100330,29349
G5100350,29856
G5100360,7118
G5100370,12313
G5100410,328176
G5100430,14299
G5100450,5212
G5100470,48424
G5100490,9859
G5100510,15463
G5100530,28110
G5100570,11151
G5100590,1128722
G5100610,67463
G5100630,15523
G5100650,26014
G5100670,56315
G5100690,81340
G5100710,16907
G5100730,37001
G5100750,21721
G5100770,15573
G5100790,18938
G5100810,11760
G5100830,35506
G5100850,101340
G5100870,318864
G5100890,52580
G5100910,2244
G5100930,35740
G5100950,70673
G5100970,7106
G5100990,24933
G5101010,16097
G5101030,11129
G5101050,25206
G5101070,351129
G5101090,33986
G5101110,12558
G5101130,13147
G5101150,8880
G5101170,31555
G5101190,10717
G5101210,96467
G5101250,14858
G5101270,19560
G5101310,12184
G5101330,12304
G5101350,15711
G5101370,34596
G5101390,23843
G5101410,18264
G5101430,62794
G5101450,28207
G5101470,23022
G5101490,37380
G5101530,437271
G5101550,34528
G5101570,7431
G5101590,8989
G5101610,93633
G5101630,22444
G5101650,77785
G5101670,28245
G5101690,22570
G5101710,42724
G5101730,31734
G5101750,18410
G5101770,127691
G5101790,137145
G5101810,6823
G5101830,11864
G5101850,43870
G5101870,38481
G5101910,54759
G5101930,17557
G5101950,40530
G5101970,29190
G5101990,66471
G5105100,149315
G5105200,17524
G5105300,6666
G5105400,45084
G5105500,230601
G5105700,17515
G5105800,5736
G5105900,42450
G5105950,5672
G5106000,23402
G5106100,13308
G5106200,8457
G5106300,27395
G5106400,6876
G5106500,137081
G5106600,51388
G5106700,22279
G5106780,7071
G5106800,78158
G5106830,40743
G5106850,15625
G5106900,13624
G5107000,181323
G5107100,245452
G5107200,4007
G5107300,32123
G5107350,12077
G5107400,96135
G5107500,17057
G5107600,213735
G5107700,98736
G5107750,25165
G5107900,24193
G5108000,86184
G5108100,448290
G5108200,21150
G5108300,14754
G5108400,27168
G5300010,19081
G5300030,22040
G5300050,184930
G5300070,74267
G5300090,72397
G5300110,444506
G5300130,3989
G5300150,102338
G5300170,39599
G5300190,7652
G5300210,86443
G5300230,2230
G5300250,92070
G5300270,71419
G5300290,79329
G5300310,30083
G5300330,2045756
G5300350,255441
G5300370,42204
G5300390,20820
G5300410,75515
G5300430,10363
G5300450,60791
G5300470,41332
G5300490,20645
G5300510,12968
G5300530,821952
G5300550,15956
G5300570,119343
G5300590,11243
G5300610,746653
G5300630,480832
G5300650,43548
G5300670,262723
G5300690,4035
G5300710,59726
G5300730,207100
G5300750,46737
G5300770,247408
G5400010,16731
G5400030,108724
G5400050,24000
G5400070,14466
G5400090,23665
G5400110,96824
G5400130,7557
G5400150,9141
G5400170,8201
G5400190,45534
G5400210,8644
G5400230,11815
G5400250,35666
G5400270,23542
G5400290,30201
G5400310,13936
G5400330,68998
G5400350,29256
G5400370,55214
G5400390,190781
G5400410,16434
G5400430,21560
G5400450,35760
G5400470,20802
G5400490,56790
G5400510,32480
G5400530,27177
G5400550,61891
G5400570,27755
G5400590,25931
G5400610,101668
G5400630,13525
G5400650,17475
G5400670,25930
G5400690,43637
G5400710,7402
G5400730,7636
G5400750,8697
G5400770,33809
G5400790,56596
G5400810,78493
G5400830,29365
G5400850,10140
G5400870,14636
G5400890,13544
G5400910,16977
G5400930,6972
G5400950,9033
G5400970,24560
G5400990,41499
G5401010,8927
G5401030,16157
G5401050,5841
G5401070,86559
G5401090,22866
G5500010,20451
G5500030,15993
G5500050,45686
G5500070,15050
G5500090,254717
G5500110,13319
G5500130,15334
G5500150,49678
G5500170,63209
G5500190,34518
G5500210,56607
G5500230,16483
G5500250,510198
G5500270,88547
G5500290,27731
G5500310,43799
G5500330,44159
G5500350,101281
G5500370,4476
G5500390,101920
G5500410,9150
G5500430,51489
G5500450,37044
G5500470,18966
G5500490,23769
G5500510,5907
G5500530,20543
G5500550,84345
G5500570,26494
G5500590,167738
G5500610,20483
G5500630,117048
G5500650,16835
G5500670,19551
G5500690,28286
G5500710,80521
G5500730,135177
G5500750,41287
G5500770,15140
G5500780,4451
G5500790,955939
G5500810,45274
G5500830,37476
G5500850,35653
G5500870,180430
G5500890,87273
G5500910,7372
G5500930,40799
G5500950,43572
G5500970,70432
G5500990,13800
G5501010,194895
G5501030,17746
G5501050,160727
G5501070,14357
G5501090,86118
G5501110,62992
G5501130,16483
G5501150,41563
G5501170,115226
G5501190,20569
G5501210,29412
G5501230,30279
G5501250,21355
G5501270,103039
G5501290,15700
G5501310,132921
G5501330,393873
G5501350,52125
G5501370,24321
G5501390,169004
G5501410,74012
G5600010,37565
G5600030,11895
G5600050,48013
G5600070,15739
G5600090,14101
G5600110,7229
G5600130,40755
G5600150,13544
G5600170,4809
G5600190,8600
G5600210,95431
G5600230,18316
G5600250,80011
G5600270,2516
G5600290,28985
G5600310,8750
G5600330,29738
G5600350,10117
G5600370,44772
G5600390,22311
G5600410,20930
G5600430,8400
G5600450,7152
G7200010,18962
G7200030,40603
G7200050,57973
G7200070,27693
G7200090,24829
G7200110,28579
G7200130,92511
G7200150,19018
G7200170,24775
G7200190,29805
G7200210,197287
G7200230,50380
G7200250,138262
G7200270,33949
G7200290,47432
G7200310,168114
G7200330,26680
G7200350,46647
G7200370,12810
G7200390,17928
G7200410,42298
G7200430,40293
G7200450,20339
G7200470,35975
G7200490,1557
G7200510,38166
G7200530,34720
G7200540,12408
G7200550,18207
G7200570,43700
G7200590,20442
G7200610,93899
G7200630,46765
G7200650,41578
G7200670,16845
G7200690,56384
G7200710,44438
G7200730,15890
G7200750,49259
G7200770,40104
G7200790,24722
G7200810,28727
G7200830,9306
G7200850,38605
G7200870,28454
G7200890,19497
G7200910,42167
G7200930,6315
G7200950,11701
G7200970,83418
G7200990,38815
G7201010,32294
G7201030,26804
G7201050,29751
G7201070,22595
G7201090,18441
G7201110,22770
G7201130,156054
G7201150,25205
G7201170,14841
G7201190,53029
G7201210,24307
G7201230,30114
G7201250,34125
G7201270,371400
G7201290,39778
G7201310,40471
G7201330,22913
G7201350,74603
G7201370,85242
G7201390,71886
G7201410,31474
G7201430,39319
G7201450,56858
G7201470,9130
G7201490,24685
G7201510,36279
G7201530,39474
